id,create_time,update_time,attr_value,product_spu_attr_id
113,6/3/2023,6/3/2023,QWER,593
114,10/15/2023,10/15/2023,ASDF,457
115,10/5/2023,10/5/2023,POIU,516
116,7/20/2023,7/20/2023,0987,618
117,12/16/2023,12/16/2023,1234,116
118,8/15/2023,8/15/2023,5678,221
119,5/23/2023,5/23/2023,WXYZ,510
120,3/8/2023,3/8/2023,5432,493
121,3/6/2023,3/6/2023,LKJH,190
122,8/27/2023,8/27/2023,ABCD,423
123,7/23/2023,7/23/2023,QWER,248
124,4/27/2023,4/27/2023,ZXCV,994
125,8/10/2023,8/10/2023,QWER,443
126,5/23/2023,5/23/2023,QWERTY,253
127,7/27/2023,7/27/2023,1234,799
128,11/30/2023,11/30/2023,ABCD,246
129,5/29/2023,5/29/2023,5678,306
130,2/22/2023,2/22/2023,WXYZ,869
131,11/7/2023,11/7/2023,5432,370
132,7/24/2023,7/24/2023,QWERTY,376
133,10/25/2023,10/25/2023,ABCD,368
134,1/5/2023,1/5/2023,5678,982
135,1/3/2023,1/3/2023,UIOP,342
136,1/23/2023,1/23/2023,5678,388
137,6/16/2023,6/16/2023,WXYZ,604
138,5/18/2023,5/18/2023,ZXCV,442
139,4/13/2023,4/13/2023,ABCD,292
140,4/1/2023,4/1/2023,0987,366
141,2/4/2023,2/4/2023,LKJH,339
142,1/5/2023,1/5/2023,9876,576
143,12/27/2023,12/27/2023,1234,859
144,10/8/2023,10/8/2023,0987,765
145,2/16/2023,2/16/2023,QWER,489
146,12/13/2023,12/13/2023,1234,408
147,8/28/2023,8/28/2023,ZXCV,187
148,2/11/2023,2/11/2023,5432,850
149,2/22/2023,2/22/2023,UIOP,928
150,11/8/2023,11/8/2023,0987,356
151,1/7/2023,1/7/2023,QWERTY,893
152,8/4/2023,8/4/2023,5678,293
153,4/9/2023,4/9/2023,5432,170
154,10/28/2023,10/28/2023,ASDF,106
155,5/26/2023,5/26/2023,QWERTY,522
156,6/8/2023,6/8/2023,QWERTY,248
157,11/29/2023,11/29/2023,ABCD,25
158,3/27/2023,3/27/2023,WXYZ,763
159,10/24/2023,10/24/2023,ABCD,115
160,4/17/2023,4/17/2023,LKJH,202
161,8/2/2023,8/2/2023,QWERTY,583
162,9/29/2023,9/29/2023,0987,827
163,8/10/2023,8/10/2023,9876,652
164,1/2/2023,1/2/2023,5678,467
165,8/3/2023,8/3/2023,1234,634
166,7/25/2023,7/25/2023,5678,125
167,11/5/2023,11/5/2023,ASDF,729
168,8/27/2023,8/27/2023,1234,575
169,8/20/2023,8/20/2023,QWERTY,368
170,6/27/2023,6/27/2023,LKJH,439
171,11/16/2023,11/16/2023,5678,418
172,1/18/2023,1/18/2023,POIU,109
173,9/15/2023,9/15/2023,POIU,78
174,11/29/2023,11/29/2023,QWERTY,311
175,7/18/2023,7/18/2023,5432,200
176,9/12/2023,9/12/2023,POIU,779
177,7/23/2023,7/23/2023,ABCD,843
178,5/25/2023,5/25/2023,ABCD,337
179,7/1/2023,7/1/2023,1234,936
180,4/27/2023,4/27/2023,POIU,302
181,5/2/2023,5/2/2023,ASDF,233
182,11/5/2023,11/5/2023,5678,92
183,4/30/2023,4/30/2023,WXYZ,479
184,3/20/2023,3/20/2023,9876,605
185,5/24/2023,5/24/2023,QWER,83
186,6/2/2023,6/2/2023,0987,422
187,2/20/2023,2/20/2023,ABCD,385
188,12/27/2023,12/27/2023,9876,170
189,5/17/2023,5/17/2023,0987,843
190,1/23/2023,1/23/2023,LKJH,938
191,10/22/2023,10/22/2023,MNBV,609
192,5/25/2023,5/25/2023,ABCD,681
193,6/1/2023,6/1/2023,ZXCV,394
194,10/12/2023,10/12/2023,ABCD,845
195,2/26/2023,2/26/2023,QWER,657
196,12/6/2023,12/6/2023,5432,377
197,2/26/2023,2/26/2023,WXYZ,644
198,7/14/2023,7/14/2023,QWER,115
199,11/9/2023,11/9/2023,MNBV,91
200,3/3/2023,3/3/2023,POIU,692
201,8/18/2023,8/18/2023,UIOP,723
202,10/14/2023,10/14/2023,LKJH,715
203,5/7/2023,5/7/2023,QWERTY,475
204,3/24/2023,3/24/2023,POIU,522
205,1/27/2023,1/27/2023,WXYZ,673
206,3/8/2023,3/8/2023,MNBV,813
207,11/16/2023,11/16/2023,UIOP,369
208,7/18/2023,7/18/2023,LKJH,802
209,6/5/2023,6/5/2023,1234,874
210,9/14/2023,9/14/2023,5432,883
211,9/30/2023,9/30/2023,ASDF,943
212,7/7/2023,7/7/2023,WXYZ,222
213,6/9/2023,6/9/2023,QWER,5
214,1/1/2023,1/1/2023,MNBV,278
215,5/27/2023,5/27/2023,1234,215
216,7/28/2023,7/28/2023,0987,316
217,4/6/2023,4/6/2023,LKJH,656
218,1/9/2023,1/9/2023,MNBV,33
219,6/13/2023,6/13/2023,QWER,538
220,12/26/2023,12/26/2023,ASDF,498
221,8/24/2023,8/24/2023,1234,447
222,9/7/2023,9/7/2023,LKJH,878
223,10/22/2023,10/22/2023,MNBV,301
224,12/24/2023,12/24/2023,1234,233
225,5/14/2023,5/14/2023,WXYZ,523
226,12/24/2023,12/24/2023,POIU,861
227,12/4/2023,12/4/2023,1234,894
228,11/18/2023,11/18/2023,ZXCV,914
229,2/7/2023,2/7/2023,0987,71
230,12/17/2023,12/17/2023,LKJH,504
231,2/28/2023,2/28/2023,LKJH,379
232,1/18/2023,1/18/2023,ABCD,519
233,4/16/2023,4/16/2023,1234,288
234,1/16/2023,1/16/2023,1234,642
235,5/17/2023,5/17/2023,5678,612
236,3/21/2023,3/21/2023,UIOP,744
237,3/20/2023,3/20/2023,LKJH,116
238,5/13/2023,5/13/2023,0987,957
239,1/4/2023,1/4/2023,POIU,863
240,4/24/2023,4/24/2023,9876,532
241,7/7/2023,7/7/2023,POIU,831
242,1/14/2023,1/14/2023,9876,154
243,6/9/2023,6/9/2023,LKJH,662
244,11/18/2023,11/18/2023,QWER,904
245,1/25/2023,1/25/2023,WXYZ,892
246,7/8/2023,7/8/2023,QWERTY,347
247,1/8/2023,1/8/2023,ZXCV,918
248,1/24/2023,1/24/2023,5432,868
249,12/10/2023,12/10/2023,QWER,73
250,10/7/2023,10/7/2023,0987,509
251,10/26/2023,10/26/2023,UIOP,458
252,12/9/2023,12/9/2023,WXYZ,901
253,7/17/2023,7/17/2023,LKJH,376
254,1/13/2023,1/13/2023,5432,942
255,9/28/2023,9/28/2023,ABCD,197
256,4/20/2023,4/20/2023,QWER,21
257,3/28/2023,3/28/2023,ASDF,759
258,8/4/2023,8/4/2023,ASDF,456
259,9/26/2023,9/26/2023,9876,54
260,5/2/2023,5/2/2023,ABCD,749
261,2/9/2023,2/9/2023,5678,791
262,11/21/2023,11/21/2023,QWER,44
263,3/22/2023,3/22/2023,ZXCV,291
264,5/14/2023,5/14/2023,LKJH,649
265,2/23/2023,2/23/2023,5432,580
266,10/30/2023,10/30/2023,1234,722
267,6/2/2023,6/2/2023,UIOP,919
268,5/23/2023,5/23/2023,UIOP,540
269,2/10/2023,2/10/2023,1234,971
270,12/22/2023,12/22/2023,5678,587
271,4/10/2023,4/10/2023,LKJH,933
272,11/10/2023,11/10/2023,WXYZ,159
273,2/20/2023,2/20/2023,QWER,2
274,9/7/2023,9/7/2023,WXYZ,384
275,6/1/2023,6/1/2023,POIU,852
276,9/30/2023,9/30/2023,ASDF,656
277,12/13/2023,12/13/2023,LKJH,698
278,7/12/2023,7/12/2023,ABCD,676
279,5/10/2023,5/10/2023,9876,28
280,1/3/2023,1/3/2023,UIOP,988
281,3/5/2023,3/5/2023,ZXCV,956
282,1/26/2023,1/26/2023,QWER,421
283,10/28/2023,10/28/2023,5432,731
284,4/29/2023,4/29/2023,WXYZ,105
285,1/26/2023,1/26/2023,9876,939
286,1/27/2023,1/27/2023,0987,378
287,4/17/2023,4/17/2023,LKJH,9
288,10/10/2023,10/10/2023,WXYZ,893
289,8/29/2023,8/29/2023,1234,473
290,9/17/2023,9/17/2023,QWERTY,423
291,3/28/2023,3/28/2023,0987,527
292,4/28/2023,4/28/2023,LKJH,676
293,10/20/2023,10/20/2023,ZXCV,964
294,6/7/2023,6/7/2023,ZXCV,283
295,12/20/2023,12/20/2023,ZXCV,970
296,6/15/2023,6/15/2023,0987,804
297,2/13/2023,2/13/2023,0987,69
298,4/2/2023,4/2/2023,5432,341
299,3/4/2023,3/4/2023,POIU,674
300,12/25/2023,12/25/2023,1234,50
301,8/20/2023,8/20/2023,ASDF,926
302,7/31/2023,7/31/2023,ZXCV,364
303,12/25/2023,12/25/2023,5432,153
304,5/8/2023,5/8/2023,ABCD,844
305,4/22/2023,4/22/2023,ASDF,516
306,6/23/2023,6/23/2023,QWERTY,72
307,5/23/2023,5/23/2023,5678,715
308,4/8/2023,4/8/2023,QWER,32
309,9/8/2023,9/8/2023,WXYZ,222
310,1/3/2023,1/3/2023,9876,157
311,1/27/2023,1/27/2023,QWERTY,383
312,2/27/2023,2/27/2023,9876,979
313,7/12/2023,7/12/2023,MNBV,176
314,12/28/2023,12/28/2023,ABCD,862
315,2/10/2023,2/10/2023,ABCD,913
316,11/10/2023,11/10/2023,5678,211
317,8/24/2023,8/24/2023,QWER,643
318,7/16/2023,7/16/2023,QWERTY,291
319,6/20/2023,6/20/2023,ABCD,102
320,8/3/2023,8/3/2023,5432,492
321,1/12/2023,1/12/2023,ZXCV,968
322,6/19/2023,6/19/2023,ABCD,465
323,2/1/2023,2/1/2023,WXYZ,459
324,3/3/2023,3/3/2023,5432,189
325,3/16/2023,3/16/2023,5678,27
326,9/1/2023,9/1/2023,POIU,632
327,6/9/2023,6/9/2023,QWER,350
328,10/5/2023,10/5/2023,1234,423
329,6/28/2023,6/28/2023,9876,408
330,7/2/2023,7/2/2023,ABCD,738
331,1/25/2023,1/25/2023,9876,882
332,4/5/2023,4/5/2023,QWER,20
333,9/4/2023,9/4/2023,5432,26
334,9/14/2023,9/14/2023,QWER,931
335,11/18/2023,11/18/2023,0987,611
336,6/21/2023,6/21/2023,9876,659
337,12/12/2023,12/12/2023,UIOP,957
338,11/17/2023,11/17/2023,0987,681
339,8/9/2023,8/9/2023,1234,400
340,4/24/2023,4/24/2023,9876,338
341,6/14/2023,6/14/2023,9876,146
342,9/18/2023,9/18/2023,0987,602
343,9/7/2023,9/7/2023,ZXCV,389
344,9/8/2023,9/8/2023,ASDF,994
345,12/16/2023,12/16/2023,QWERTY,812
346,3/17/2023,3/17/2023,UIOP,182
347,12/27/2023,12/27/2023,5432,271
348,10/20/2023,10/20/2023,1234,510
349,4/18/2023,4/18/2023,ABCD,386
350,5/6/2023,5/6/2023,ZXCV,639
351,5/1/2023,5/1/2023,5678,736
352,1/18/2023,1/18/2023,POIU,725
353,8/22/2023,8/22/2023,QWERTY,981
354,10/15/2023,10/15/2023,UIOP,344
355,7/17/2023,7/17/2023,UIOP,330
356,5/21/2023,5/21/2023,MNBV,776
357,10/16/2023,10/16/2023,QWER,536
358,12/17/2023,12/17/2023,0987,681
359,11/2/2023,11/2/2023,0987,282
360,6/19/2023,6/19/2023,LKJH,113
361,3/26/2023,3/26/2023,LKJH,98
362,2/24/2023,2/24/2023,ABCD,727
363,8/15/2023,8/15/2023,ZXCV,127
364,10/3/2023,10/3/2023,ABCD,591
365,11/23/2023,11/23/2023,LKJH,619
366,9/1/2023,9/1/2023,0987,976
367,4/7/2023,4/7/2023,5678,588
368,6/22/2023,6/22/2023,5678,662
369,8/17/2023,8/17/2023,QWERTY,473
370,7/18/2023,7/18/2023,LKJH,635
371,10/30/2023,10/30/2023,MNBV,766
372,6/1/2023,6/1/2023,1234,543
373,3/2/2023,3/2/2023,5678,162
374,8/20/2023,8/20/2023,0987,655
375,12/27/2023,12/27/2023,QWER,62
376,7/31/2023,7/31/2023,9876,483
377,6/24/2023,6/24/2023,ZXCV,64
378,2/15/2023,2/15/2023,5432,871
379,10/4/2023,10/4/2023,UIOP,475
380,7/6/2023,7/6/2023,5678,207
381,8/14/2023,8/14/2023,UIOP,786
382,1/2/2023,1/2/2023,0987,161
383,9/25/2023,9/25/2023,POIU,678
384,5/14/2023,5/14/2023,1234,186
385,9/25/2023,9/25/2023,LKJH,87
386,8/2/2023,8/2/2023,WXYZ,24
387,6/13/2023,6/13/2023,9876,837
388,11/27/2023,11/27/2023,9876,999
389,10/11/2023,10/11/2023,ASDF,843
390,4/2/2023,4/2/2023,1234,117
391,6/30/2023,6/30/2023,QWER,566
392,11/26/2023,11/26/2023,LKJH,743
393,2/28/2023,2/28/2023,UIOP,834
394,9/12/2023,9/12/2023,1234,288
395,12/22/2023,12/22/2023,LKJH,962
396,5/17/2023,5/17/2023,0987,40
397,6/20/2023,6/20/2023,ZXCV,601
398,6/3/2023,6/3/2023,UIOP,416
399,9/26/2023,9/26/2023,QWERTY,189
400,1/6/2023,1/6/2023,QWERTY,88
401,6/7/2023,6/7/2023,QWER,941
402,10/6/2023,10/6/2023,LKJH,700
403,1/4/2023,1/4/2023,5678,509
404,6/9/2023,6/9/2023,5432,293
405,7/16/2023,7/16/2023,5432,957
406,1/28/2023,1/28/2023,5678,112
407,2/22/2023,2/22/2023,ZXCV,573
408,12/20/2023,12/20/2023,ASDF,873
409,8/8/2023,8/8/2023,5432,399
410,5/11/2023,5/11/2023,MNBV,692
411,1/9/2023,1/9/2023,0987,723
412,3/12/2023,3/12/2023,WXYZ,203
413,3/31/2023,3/31/2023,5678,354
414,11/6/2023,11/6/2023,ABCD,762
415,2/25/2023,2/25/2023,WXYZ,951
416,9/2/2023,9/2/2023,QWERTY,884
417,10/9/2023,10/9/2023,0987,859
418,8/4/2023,8/4/2023,5432,933
419,4/21/2023,4/21/2023,1234,853
420,11/3/2023,11/3/2023,POIU,634
421,4/9/2023,4/9/2023,POIU,765
422,4/6/2023,4/6/2023,WXYZ,389
423,9/23/2023,9/23/2023,5678,291
424,8/8/2023,8/8/2023,WXYZ,874
425,12/4/2023,12/4/2023,5678,276
426,8/15/2023,8/15/2023,ASDF,225
427,5/17/2023,5/17/2023,POIU,574
428,4/16/2023,4/16/2023,WXYZ,620
429,8/12/2023,8/12/2023,LKJH,356
430,9/17/2023,9/17/2023,QWER,740
431,8/25/2023,8/25/2023,POIU,301
432,7/21/2023,7/21/2023,QWER,508
433,5/31/2023,5/31/2023,UIOP,378
434,12/2/2023,12/2/2023,UIOP,845
435,6/9/2023,6/9/2023,UIOP,638
436,11/14/2023,11/14/2023,ZXCV,996
437,6/16/2023,6/16/2023,LKJH,706
438,10/25/2023,10/25/2023,QWER,652
439,1/3/2023,1/3/2023,LKJH,912
440,8/17/2023,8/17/2023,ABCD,699
441,8/16/2023,8/16/2023,UIOP,196
442,4/29/2023,4/29/2023,0987,687
443,11/11/2023,11/11/2023,1234,408
444,4/8/2023,4/8/2023,ZXCV,130
445,10/11/2023,10/11/2023,9876,8
446,10/29/2023,10/29/2023,ASDF,473
447,7/10/2023,7/10/2023,WXYZ,363
448,10/15/2023,10/15/2023,ASDF,128
449,7/30/2023,7/30/2023,0987,451
450,1/13/2023,1/13/2023,5678,310
451,4/26/2023,4/26/2023,QWER,295
452,7/27/2023,7/27/2023,0987,486
453,2/18/2023,2/18/2023,POIU,402
454,3/15/2023,3/15/2023,9876,314
455,9/16/2023,9/16/2023,QWERTY,208
456,9/3/2023,9/3/2023,1234,167
457,3/11/2023,3/11/2023,5678,546
458,3/29/2023,3/29/2023,QWER,787
459,7/15/2023,7/15/2023,5678,696
460,12/23/2023,12/23/2023,WXYZ,834
461,12/2/2023,12/2/2023,POIU,318
462,1/25/2023,1/25/2023,0987,105
463,4/2/2023,4/2/2023,UIOP,990
464,12/26/2023,12/26/2023,5432,311
465,9/24/2023,9/24/2023,WXYZ,242
466,3/26/2023,3/26/2023,QWER,831
467,6/21/2023,6/21/2023,1234,843
468,8/18/2023,8/18/2023,WXYZ,182
469,11/29/2023,11/29/2023,1234,963
470,1/25/2023,1/25/2023,1234,694
471,7/3/2023,7/3/2023,ZXCV,337
472,6/20/2023,6/20/2023,5432,278
473,8/2/2023,8/2/2023,ASDF,911
474,12/8/2023,12/8/2023,WXYZ,356
475,6/7/2023,6/7/2023,ZXCV,318
476,2/5/2023,2/5/2023,ASDF,824
477,3/1/2023,3/1/2023,UIOP,585
478,3/24/2023,3/24/2023,5432,560
479,11/1/2023,11/1/2023,5678,546
480,11/28/2023,11/28/2023,ABCD,737
481,2/1/2023,2/1/2023,QWERTY,584
482,9/16/2023,9/16/2023,WXYZ,56
483,12/15/2023,12/15/2023,5432,897
484,7/26/2023,7/26/2023,9876,338
485,11/27/2023,11/27/2023,0987,983
486,5/8/2023,5/8/2023,POIU,598
487,12/1/2023,12/1/2023,1234,85
488,7/6/2023,7/6/2023,QWERTY,676
489,4/7/2023,4/7/2023,QWER,617
490,5/23/2023,5/23/2023,5678,924
491,3/11/2023,3/11/2023,9876,369
492,11/16/2023,11/16/2023,LKJH,731
493,7/10/2023,7/10/2023,1234,341
494,2/15/2023,2/15/2023,5678,677
495,7/7/2023,7/7/2023,ASDF,441
496,12/25/2023,12/25/2023,MNBV,15
497,1/16/2023,1/16/2023,9876,870
498,3/29/2023,3/29/2023,QWERTY,207
499,2/23/2023,2/23/2023,LKJH,843
500,6/27/2023,6/27/2023,5432,140
501,5/16/2023,5/16/2023,5432,771
502,10/26/2023,10/26/2023,9876,994
503,2/26/2023,2/26/2023,5432,835
504,7/3/2023,7/3/2023,9876,178
505,8/7/2023,8/7/2023,LKJH,100
506,5/1/2023,5/1/2023,POIU,76
507,12/28/2023,12/28/2023,1234,101
508,11/4/2023,11/4/2023,QWER,954
509,5/4/2023,5/4/2023,1234,813
510,6/15/2023,6/15/2023,ASDF,371
511,3/31/2023,3/31/2023,9876,786
512,10/7/2023,10/7/2023,1234,551
513,1/10/2023,1/10/2023,5678,120
514,7/18/2023,7/18/2023,QWER,370
515,8/26/2023,8/26/2023,9876,744
516,3/4/2023,3/4/2023,ABCD,556
517,7/27/2023,7/27/2023,WXYZ,192
518,4/22/2023,4/22/2023,QWER,642
519,10/1/2023,10/1/2023,QWER,711
520,7/6/2023,7/6/2023,POIU,103
521,2/7/2023,2/7/2023,WXYZ,539
522,2/25/2023,2/25/2023,5432,55
523,12/13/2023,12/13/2023,1234,641
524,12/22/2023,12/22/2023,LKJH,948
525,10/26/2023,10/26/2023,5432,501
526,1/31/2023,1/31/2023,0987,962
527,9/27/2023,9/27/2023,UIOP,174
528,4/4/2023,4/4/2023,ABCD,917
529,11/14/2023,11/14/2023,MNBV,300
530,12/2/2023,12/2/2023,LKJH,303
531,5/6/2023,5/6/2023,5432,734
532,10/11/2023,10/11/2023,0987,484
533,4/8/2023,4/8/2023,QWER,182
534,11/28/2023,11/28/2023,ASDF,824
535,1/18/2023,1/18/2023,UIOP,235
536,12/3/2023,12/3/2023,ABCD,495
537,11/6/2023,11/6/2023,UIOP,654
538,4/15/2023,4/15/2023,QWER,656
539,12/2/2023,12/2/2023,9876,58
540,6/1/2023,6/1/2023,MNBV,783
541,6/13/2023,6/13/2023,ABCD,743
542,8/19/2023,8/19/2023,ABCD,258
543,2/20/2023,2/20/2023,1234,41
544,2/18/2023,2/18/2023,LKJH,217
545,9/13/2023,9/13/2023,QWERTY,247
546,7/10/2023,7/10/2023,ZXCV,456
547,9/1/2023,9/1/2023,0987,681
548,5/29/2023,5/29/2023,5432,118
549,4/13/2023,4/13/2023,POIU,779
550,12/28/2023,12/28/2023,UIOP,538
551,2/4/2023,2/4/2023,QWER,237
552,9/15/2023,9/15/2023,5432,97
553,4/9/2023,4/9/2023,0987,21
554,6/29/2023,6/29/2023,QWER,137
555,9/9/2023,9/9/2023,WXYZ,580
556,7/17/2023,7/17/2023,5432,596
557,3/29/2023,3/29/2023,MNBV,653
558,11/2/2023,11/2/2023,POIU,842
559,8/25/2023,8/25/2023,QWERTY,512
560,5/30/2023,5/30/2023,WXYZ,598
561,10/30/2023,10/30/2023,LKJH,989
562,9/5/2023,9/5/2023,5432,524
563,5/21/2023,5/21/2023,LKJH,823
564,8/31/2023,8/31/2023,QWERTY,388
565,5/27/2023,5/27/2023,QWER,786
566,8/26/2023,8/26/2023,ZXCV,159
567,10/26/2023,10/26/2023,UIOP,679
568,2/2/2023,2/2/2023,9876,875
569,6/28/2023,6/28/2023,ABCD,519
570,1/4/2023,1/4/2023,QWERTY,864
571,4/8/2023,4/8/2023,5432,142
572,2/14/2023,2/14/2023,UIOP,384
573,2/10/2023,2/10/2023,QWER,858
574,11/24/2023,11/24/2023,5432,236
575,2/1/2023,2/1/2023,1234,173
576,7/2/2023,7/2/2023,0987,853
577,5/10/2023,5/10/2023,1234,127
578,4/11/2023,4/11/2023,9876,79
579,7/25/2023,7/25/2023,LKJH,842
580,3/2/2023,3/2/2023,ASDF,108
581,12/27/2023,12/27/2023,ASDF,68
582,9/1/2023,9/1/2023,POIU,827
583,2/12/2023,2/12/2023,UIOP,691
584,5/9/2023,5/9/2023,UIOP,373
585,3/30/2023,3/30/2023,WXYZ,116
586,12/11/2023,12/11/2023,QWERTY,412
587,5/7/2023,5/7/2023,QWERTY,684
588,10/26/2023,10/26/2023,POIU,375
589,12/24/2023,12/24/2023,5432,743
590,1/29/2023,1/29/2023,5678,135
591,10/3/2023,10/3/2023,QWER,413
592,10/17/2023,10/17/2023,0987,845
593,12/24/2023,12/24/2023,QWERTY,963
594,7/24/2023,7/24/2023,QWERTY,489
595,9/4/2023,9/4/2023,ZXCV,212
596,2/8/2023,2/8/2023,ABCD,920
597,4/27/2023,4/27/2023,ABCD,130
598,10/28/2023,10/28/2023,UIOP,394
599,8/31/2023,8/31/2023,UIOP,985
600,11/2/2023,11/2/2023,QWER,224
601,4/2/2023,4/2/2023,ABCD,639
602,10/3/2023,10/3/2023,0987,949
603,9/25/2023,9/25/2023,POIU,137
604,9/21/2023,9/21/2023,5432,496
605,7/28/2023,7/28/2023,1234,838
606,5/21/2023,5/21/2023,LKJH,87
607,11/9/2023,11/9/2023,ABCD,948
608,12/3/2023,12/3/2023,ZXCV,215
609,9/7/2023,9/7/2023,5432,746
610,8/25/2023,8/25/2023,UIOP,225
611,10/25/2023,10/25/2023,LKJH,790
612,3/11/2023,3/11/2023,ZXCV,934
613,4/22/2023,4/22/2023,WXYZ,26
614,11/13/2023,11/13/2023,0987,810
615,12/5/2023,12/5/2023,QWERTY,962
616,1/22/2023,1/22/2023,ZXCV,956
617,10/10/2023,10/10/2023,WXYZ,837
618,2/11/2023,2/11/2023,5432,476
619,11/27/2023,11/27/2023,ASDF,385
620,1/14/2023,1/14/2023,9876,803
621,2/6/2023,2/6/2023,ASDF,670
622,3/10/2023,3/10/2023,1234,159
623,5/19/2023,5/19/2023,1234,183
624,4/19/2023,4/19/2023,LKJH,594
625,2/10/2023,2/10/2023,QWERTY,853
626,7/29/2023,7/29/2023,QWER,692
